model,fold,n_rounds,reg_lambda,learning_rate,feature_selector,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
gblin_1e-05_eta1p0_shuffle,4,10,1e-05,1.0,shuffle,5.754450168650715,7.492445113339059,0.6946907785913414,13.573507173316976,-2.6296328315192308,-2.6296328315192308,7.01582247122848
gblin_1e-04_eta0p1_cyclic,4,300,0.0001,0.1,cyclic,5.588373015960317,7.287170216529408,0.7111910753338178,13.091645096646806,-2.1259769536843534,-2.1259769536843534,6.9701557914494465
gblin_1e-04_eta0p1_shuffle,4,298,0.0001,0.1,shuffle,5.586436386431069,7.286534454021392,0.7112414668770959,13.09428281445905,-2.1352898189428964,-2.1352898189428964,6.966643505933085
gblin_1e-04_eta0p3_cyclic,4,300,0.0001,0.3,cyclic,5.488180275088968,7.154454712418023,0.7216149817557576,12.882158011787176,-1.9111289793763895,-1.9111289793763895,6.89447664846493
gblin_1e-04_eta0p3_shuffle,4,298,0.0001,0.3,shuffle,5.486058149671339,7.154147476439874,0.7216388907915545,12.877450453305558,-1.912838110818176,-1.912838110818176,6.8936838103043705
gblin_1e-04_eta1p0_cyclic,4,300,0.0001,1.0,cyclic,5.444773584466475,7.093358220526909,0.7263492979481703,12.796572164408907,-1.8675276884875063,-1.8675276884875063,6.843103913974212
gblin_1e-04_eta1p0_shuffle,4,10,0.0001,1.0,shuffle,5.754918625231878,7.492986098871482,0.694646687822013,13.574318653353066,-2.6303778034966574,-2.6303778034966574,7.016120957391867
gblin_1e-03_eta0p1_cyclic,4,300,0.001,0.1,cyclic,5.594207307546655,7.294558912327254,0.7106051131426604,13.104667310617705,-2.141131226514694,-2.141131226514694,6.97324506928135
gblin_1e-03_eta0p1_shuffle,4,298,0.001,0.1,shuffle,5.592423368845009,7.294025559202322,0.7106474307183603,13.107368935315048,-2.1502439729936853,-2.1502439729936853,6.96988233149607
gblin_1e-03_eta0p3_cyclic,4,300,0.001,0.3,cyclic,5.496273257177041,7.165292682988906,0.7207709163406872,12.899399235966685,-1.9341877143718191,-1.9341877143718191,6.899299755661256
gblin_1e-03_eta0p3_shuffle,4,298,0.001,0.3,shuffle,5.494621036010307,7.165417356298368,0.7207611993009628,12.89561168717884,-1.9365772047912364,-1.9365772047912364,6.898758918807415
gblin_1e-03_eta1p0_cyclic,4,300,0.001,1.0,cyclic,5.4579264957247675,7.111645052195277,0.7249365242964434,12.82565712338101,-1.895125290869946,-1.895125290869946,6.854487251452048
gblin_1e-03_eta1p0_shuffle,4,10,0.001,1.0,shuffle,5.759567949610296,7.498362800875652,0.6942083091061082,13.582389868881513,-2.6376888133259233,-2.6376888133259233,7.0191197751292895
gblin_3e-03_eta0p1_cyclic,4,300,0.003,0.1,cyclic,5.607243694402171,7.3108559068860535,0.7093105769464565,13.133587240582049,-2.1739334822810945,-2.1739334822810945,6.980159547307489
gblin_3e-03_eta0p1_shuffle,4,298,0.003,0.1,shuffle,5.6057361816299505,7.310539892168219,0.7093357067402275,13.136367180013004,-2.1826634552437887,-2.1826634552437887,6.977103536291128
gblin_3e-03_eta0p3_cyclic,4,300,0.003,0.3,cyclic,5.514282049963967,7.189361015597208,0.7188918958951949,12.937998414177878,-1.9837056486503801,-1.9837056486503801,6.910269438459074
gblin_3e-03_eta0p3_shuffle,4,298,0.003,0.3,shuffle,5.513550890962103,7.190206212690358,0.7188257966360705,12.936132485127914,-1.987111940914463,-1.987111940914463,6.910170150964893
gblin_3e-03_eta1p0_cyclic,4,300,0.003,1.0,cyclic,5.485235380355136,7.148362890912977,0.7220888543050533,12.885802732235419,-1.9580234275281179,-1.9580234275281179,6.874971729209712
gblin_3e-03_eta1p0_shuffle,4,10,0.003,1.0,shuffle,5.769861768015258,7.510262016368822,0.6932370121844433,13.600294886042311,-2.653633104021508,-2.653633104021508,7.025828556387742
gblin_1e-02_eta0p1_cyclic,4,300,0.01,0.1,cyclic,5.652631686959084,7.366499646993044,0.7048687983208749,13.233242677553978,-2.28014748953289,-2.28014748953289,7.004730150057568
